Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
394,BS394,BSPACK,2006,2,,1,1,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,2,3,"1985, 1999",,,,,,,1,,1,,,,0,,,,,0,2,,no,yes,Vaciente/sawmill,Packard,3,"Packard/ Circle M Ranch. We entered via the property south of the Packards with permission from owner (but property is now for sale) and escorted by Bob Milton of Circle M (Packard). From here took the road to the old sawmill at Vicente Creek. Park here. Follow the old roadcut that heads down towards creek (very overgrown and many fallen trees, hardly distinguishable anymore). Plot will be uphill, on the left as walk down the ""road"" in the resprouting LIDE forest with large overstory SESE",Bart,10,629675,3990430,5,,382,9.861203194,30,10,0,1,1,mid-slope,Lots of smaller downed LIDE (CWD) that is >5cm but not making the 20cm. Widely diverging canopy cover- plot is in forest of mainly understory resprouting LIDE and then tall emergent SESE. Large gaps. Plot was formerly called 394B because we moved it away from proposed location down the steep slope into Vicente Cr. Everything should be just labeled 394 now. Most all LIDE appear to be resprouts from much larger trees that were killed in fire. Center stumps are still visible. Vicia in this plot appears to be very aggressive- covering many of the LIDEs.,Slope burned in 85 in Rat Fire and again in 99 in the Kirk Complex,1,2012,,,X,1,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,BS399,BSPRIV,2006,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,1,1,1,1970,,,,,,,,,,,,,2,2,,,,,2,,no,yes,Plaskett Ridge Road/ Kinnick,Kinnick,3,"Kinnick.Plaskett Ridge Rd. Through Kate Navoa's first gate. Turn E, right, down Kinnicks driveway (POMO#1). Drive past house and continue down road to left. Rd makes 90 degree turn to right and see swath of forest that heads down ridge. Plot is in here about 40m from road.",UCD Trimble,10,642194,3977420,3,,860,6.763198853,34,56,56,2,4,upper-slope,"TONS of poak in plot. Only do when leaves have dropped. This is a strip/swath of forest with chapparel on either side. NO evidence of disease in plot or area. Both Quag and Qupa in plot and some trees difficult to tell apart- cupped longer leaves and no hairs. Bare understory, but late in season so maybe some of the herbs have dried up. Plot is near gap in forest-reason for low densiometer readings. But species cover classes add up to a lot due to high amount of overlap.",Close to and downhill from Kinnick Rd so likely some human disturbance due to this. Evidence of past fires.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,BS405,BSPACK,2007,1,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,2,4,6,"1911, 1933, 1985, 1999, 2008",,,,,,,,,1,,,"check habitat, serpentine knob",2,2,,,,0,2,,no,yes,Serpentine Knob,Packard,3,"Packard/ Circle M Ranch. Get in touch w/caretaker on Circle M Ranch first. Big Creek can help with this if you have trouble. You can stay at WhalePoint Cabin on Big Creek for this plot. Ask also for the use of one of their mules to get to this plot. The road is very narrow and rough in places, it would be better to be on a mule, if not expect to need 4x4 and use a lot of gas. From Big Creek take Road up to Highlands Camp and Canogas. Keep driving past the turn off to Canogas, onto the Packard/ Circle M Ranch property (through gate Get combo from caretaker) and then past French Camp all the way around to the Serpentine knob/outcrop. Park here. Walk into forest to the SW (maybe more W). Large Lide is in plot. Center of plot is below Pine (Pine is 3.3m and 208 degrees from center). You could also come in from the Hermitage if you had already obtained access through there. If you do have permission from the Hermitage go up thier paved road until there is a gated dirt road on your right (you'll need prior authorization to have the gate open). go off the pavement onto the dirt road very slowly around the buildings. You will pass their propane tanks and huge generator house on the right, keep strait the road will basically come to a large switch back go up this steep grade and take your second left up toward the Packard property. Stay high on this road, do not drop down or you'll wind up a at a monks house. You will pass a resevoir, stay right,  and come to the packard gate, which you will need the combo for. After you go through this gate continue up until you come to a 4-way crossing. To get to the serpentine knob go right, it is not far. ",UCD Trimble,10,631924.01,3989897.60,4,yes,870,6.414688587,22,16,16,4,4,upper-slope,"Pines and Santa Lucia Fir must have been mistaken for SESE.It Is very dense in here! Very dry area. Near serpentine outcrop. Very few herbs growing in the understory. Lide and Arme have Phytoph symptoms but seems unlikely in this dry ridge-top area. Oaks are very toothed- shiney inderneath- looks possibly like QUWI, but final decision was QUPA. Densiometer Reading was offset 1m uphill (S). A lot of dwd not making 20cm. Many of the CEOL are dead, so their individual covers are VERY estimated- difficult to do- so in the end it is more or less the area of combined dead branches. Cover is birds eye view, dead and not dead at at present (not what it would have been like if things were alive). Many of the azimuths are estimated because cannot see into the dense forest.",Burned in here and very hot! Everything is re-sprouting from this fire.,,,,,X,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,BS407,BSBCR,2006,2,,1,1,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,3,4,"1941, 1985, 1999",1,1,,1,,,1,,1,,,,0,,,,,0,2,yes,yes,yes,Canogas Trail,Big Creek Reserve,2,"Big Creek Reserve; Make reservations before coming, can stay at Whale Point Cabin for this plot. Go to the trail head to Canogas, way in the back of the reserve. Plot is along Shakemaker Creek. Along trail to Canogas in large Redwoods as you go along the trail, in the beginning before you really head down into Devils Canyon.",UCD Trimble,10,630107.13,3992139.10,4.7,yes,680,8.46223259,24,305,14,4,1,riparian,,fire in 1985 and 1999,1,2018,,1,0,1,1,1,1,,1,1,0,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,1,4,,,,,,1,P.ramorum,1,,,,,,,
408,BS408,BSBCR,2006,1,,1,1,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,4,5,"1917, 1941, 1985, 1999",,,,,,,,,1,,,,1,1,,,,0,2,,yes,yes,Highlands Camp,Big Creek Reserve,2,"Big Creek Reserve; Make reservations before coming, can stay at Whale Point Cabin for this plot. Take the road up towards Highlands. If coming up from the gatehouse head up road toward Whale Point, go strait across the ""X"" to the turn around and come back and stay to your right to head up toward Highlands and Canogas. Making that hard left at the ""X"" causes problems, dont try it, they will know. On the road toward Highlands past the ""X"", park at the first ""turnaround"" /""pullout"" / big bend in the road. Walk back down road a bit and then cut downhill off road to the North. TONS of poak.",Bart,10,628187,3992551,8,,375,7.494015217,21,343,330,2,4,mid-slope,Lots of leaf spots on bays but has historically been Pnem in this area. Lots of downed ceonothus. Absolutely tons of poak- especially getting to the plot requires wading through it. Many stems in plot estimated due to MAD poak vines. Plot was established before nailed down how we were measuring shrubs so have dbhs for some species and not others and did not have size for all....Conservatively estimated the size for some. Need to decide if just ignore all the extra dbhs that we measured (for the understory shrubs).,Fire Scars and re-sprouting ceonothus that is dying suggest fire …~~20yrs ago????,,,,,X,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,BS412,BSWC,2006,2,,0,,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,1,2,2,"1914, 1970,",1,1,,1,,,1,,,1,,,,,,,,,1,yes,yes,yes,Willow Creek Trail,USFS,1,"USFS. Willow Creek Trail; Drive Willow Creek Rd  (also called Los Burros Rd) to Willow Creek Trail Rd (dirt and very rutted-need 4X4) Willow Creek Road begins at the enterance to Treebones, a yurt hotel place down on the south coast of Big Sur. Park at the Willow Creek trail, trail head. Follow trail along south side of creek as long as can to major confluence of two drainages. Stay high up on slope where possible on the trail, there are many smaller trails cutting off to the river but try to stay high. When the main trail finally gets you down to the creek there is a little braiding going on, dont mistake it for the confluence you are seeking. Here the creek runs west and you want to be at a major confluence where the creeks flow south and west, easily seen on topo.  Boulder hop up drainage (very pretty!)  that comes in from the north (go about ~50m N, upstream). Look for very large emergent PSME, the second one you see is in the plot. head up side of drainage to the E (about 35 m from creek). ",Bart,10,642726,3974464,12,,209,8.476603508,35,248,188,1,1,lower-slope,"Many of the small understory SESE were clumped together for ease. Also, with seedlings, it was difficult to differentiate between different plants. Lots of downed debris in plot that did not make 20c (SESE). Plot has a very high canopy and open undestory.","Appears that plot burned recenty, most all the smaller Sese,Umca, Lide, are were completely burned (dead) but sprouting now. All along creek is evidence of mining and homesteading, with lots of artifacts (trash).",1,2010,,,8,2,1,1,2,,1,,0,,,1,"culture negative, 1 pcr positive of 20 samples",0,0,,1,1,,,0,,,,,,,,,,1,,,,0,1,,,,,,1,P.ramorum,,,,,,,,
413,BS413,BSSC,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,1,2,2,"1928, 1970",,,,,,,,,,,,,,,,,,,1,,yes,no,San Copoforo/ Foundation for the Preservation of the Mahayana Tradition,USFS,1,"USFS. San Copoforo; 4x4 Road is on FS land but to get through gates access was granted from FPMT (Foundation for the Preservation of the Mahayana Tradition) and caretaker Ian Livingston. Main access road is just a bit south of Ragged Point down by the Monterey County line on E side of HWY. Through gate and then follow road (Baldwin Ranch Road) up all the way to the top of the ridge where road splits. Go left and take first split to the left, on lesser-used road. Check w/Ian to find out the condition of that road and if you can go all the way out this way or not. No one really uses this road anymore it would be faster to go up this northern road if permission has been granted AND it has been cleared recently.  These direction are from the southern road, the main access road. So from the top head left (north) along ridge. (stay left at any splits) Soon after road starts to head down again road will enter forest and area will level out. Plot is in a switchback that is bordered by the road. ",UCD Trimble,10,650555.87,3963751.73,3,yes,626,6.71173954,16,220,220,1 and 2,4,mid-slope,"On bays, some stems have dieback of tips with dead leaves. Late in season so difficult to ID plants and do cover classes. Possible hybrid oak that looks like a Quag and Qulo (which is not actually possible). Small drainage borders edge of plot. Lots of poak stems without leaves so it may be best to return again in late season.","Plot is between two roads so likely disturbance due to this, although road is rarely ever used by anyone. The upper part of plot is bordered (~5m away from) road with logs layed down as if rolled off road after they were cut. old cattle trough across creek so possible grazing.",,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,BS415,BSBCR,2007,1,,1,1,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,2,3,"1985, 1999",,,1,,1,,,1,1,,,,,,,,,,2,yes,yes,no,Highlands Camp,Big Creek Reserve,2,"Big Creek Reserve; Make reservations before coming, can stay at Whale Point Cabin for this plot. Take the road up towards Highlands. Plot is right near Stewards inholding, which you can see as an old, little used, road off to your right a ways after the ""X"" in the road. Plot is accessed by walking uphill before Steward driveway OR by continuing to drive on past and around ""gravesite"" and accessing the plot from the top and walking down. ",UCD Trimble,10,628100.60,3992051.13,6,yes,491,9.880357742,25,140,212,2,4,mid-slope,"Open understory, trees spaced wide apart. Not very late in season but many of the herbs are dead. Plot center is above draw/drainage. Patchy forest; right below grassland. Lovely forest. ",Fire definitely burned hot in here. Most oaks lost most or all of their bark.,1,2014,,,4,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,
416,BS416,BSBCR,2007,2,,1,1,,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,2,2,3,"1985, 1999",,1,,1,,,1,,1,,,,0,,,,,0,2,yes,yes,yes,Highlands Camp,Big Creek Reserve,2,"Big Creek Reserve; For this plot it would be easy to stay up at Whalepoint cabin. Make reservations on line prior to going down, recommended 4x4. There are maps at the Gatehouse where you sign in, so obtain one to help you if you have not done this before. Either from the gate house or Whalepoint cabin, (which is ____mi from the gate house) drive up to the ""X"" and continue toward Highlands Camp. When coming from the gate house and arriving at the ""X"" in the road, continue uphill to an area you can turn around, then head back toward the ""X"" but continue on the highest road toward Highlands Camp.  From the ""X"" continue _____mi. Go past Highlands camp. around the bend, up a steep little hill, then around a point, pass a couple of curves and park off the road as much as possible but not in high grass where fires could be started. Walk back to point and head down ridge line, bush wacking, until you see SESE in the draw below. Head down STEEP slope! on your left as you are facing the ocean. Careful getting down to the plot, be conscious of eachothers location not to accidentally knock rocks down on one another.",UCD Trimble,10,629315.22,3991469.96,4,yes,580,7.833233833,42,138,178,2,5,upper-slope,"hard rocky soil; lots of slash and down woody debris; STEEP! Careful in here! PIPO very close by; narrow SESE habitat. Lots of Genista but much of it has leaves missing and twigs eaten off, very sparse and straggly. The azmiths and areas given to the genista are really generous because it is so sprawling and sparse. Lots of woodrat activity on genista. 6degrees @5.8m to cwd SESE tag #926, broke a couple of genista branches right around center point for sanity standing in center and to get better azmiths.",,,,,,-,1,1,1,1,,,,none,,,,,,,,,,,,1,,,,,,,,,,,,,,1,4,,,,,,,,0,,,,,,,
420,BS420,BSVIC,2007,2,,1,1,,1,1,0,,,,0,0,1,0,n/a,N/A,N/A,N/A,2,2,4,"1985, 1999, 2008",1,,,,,,,,1,,,,0,,,,,0,1,yes,yes,yes,Vaciente Flat Trail/ Cone Peak Road,USFS,1,"USFS. Viciente Trail; Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak. This is an overnight backpacking plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head the Vaciente Trail. Viciente Camp is ~2miles DOWN from Cone Peak Road. From Vicente Flat camp continue on Vicente Trail as it climbs up and out of camp on its way towards HWY1. At the first major draw as start to head downhill, hike past it  70M and find small, shallow wash/draw. Follow this up ~110 steep! from the trail to find plot towards large emergent SESE. The large bay (#19) near center of plot is a good thing to look for when trying to find the plot, although it is kind of scraggly and has a huge FS now.",UCD Trimble,10,635991.54,3987628.06,4.6,yes,554,7.276717186,31,320,320,1,2,mid-slope,"Careful! Very steep with very loose breakable rocks (shale). Accessing plot involves scrambling over a lot of debris. Lots of downed Lide in area but not necessarily from Pram-killed trees.Phytoph symptoms just starting in here. Minor draw (very very minor) about 2.5 m from center. Also to the SW is an opening in the canopy/gap. Difficult to do tree height and canopy position b/c we have very large emergent SESE and then much smaller trees that dont seem like ""dominants"" but technically they are. Lots of DWD not making dbh.",,,2009PCR,,,-,1,1,,,,1,,0,,,1,"culture negative, 1 pcr positive out of 18",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,BS423,BSLK,2006,2,,1,1,,1,1,0,,,,0,0,1,0,n/a,N/A,N/A,N/A,1,2,4,"1948,1985, 2008",1,,,,,,,,1,,,,0,,,,,0,1,yes,yes,no,Kiln Trail,CA State Parks,2,"Limekiln State Park. Follow LimeKiln trail to actual kilns. Pass kilns about 50-70m on trail, plot is on right side (same as trail) of creek.Steep up ~40m. Look for 3 tagged SESE's visable from creek side. As the creek heads NE, plot is above on hillside before slope takes another aspect. Look for thick, dense, numerous, smaller, multi-stemmed bays which are uphill & NW of the plots edge. There is also a small vegetated gap just to the W of the plot. Plos is just south of 1st LIDE's you see after the kilns. ",UCD Trimble,10,633234.21,3986706.83,7.6,yes,106,5.689694881,41,181,160,1,2,mid-slope,Plot is steep! Looks down onto creek. Lot sof small SESE and downed debris. Lots of rocks in soil and their falling causes MD on trees. Large fallen UMCA  through plot but the base is not in. Very poor GPS cooverage with an error of 25-30 m!!! Follow directionas and look for tags to relocate.,Evidence of logging across creek.Plot is close to kilns so possibly human disturbance.,,,,,neg '09,1,1,,,,1,,0,,1,0,unknow P.sp,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,BS425,BSVIC,2007,1,,1,1,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,2,2,3,"1985, 1999",,,,,,,,,,,,check habitat,,,,,,,1,,yes,yes,Cone Peak Trail,USFS,1,"USFS. Cone Peak Trail; Drive up Nacimiento Road to the summit. Head North (left) toward Cone Peak, 4x4 preferred. This is a long-ish, day, high, plot w/a 4x4 access road. Drive ___miles from the Nacimiento Summit to the trail head for Cone Peak. It is almost at the end of the road. There is a small parking area w/a sign pointing to Cone Peak. Hike out trail, pass the turn off to the old fire look out. Down a bunch of small switch backs and then there is a long strait away, a little more than 100m long. @ the next switch back start heading cross country side hilling through rocky, skree draw. Plot is right on the edge of large rock slide. ",UCD Trimble,10,635204.25,3991096.22,6.7,yes,1323,9.373573303,33,278,278,4,2,upper-slope,"Lots of loose rocks. Lots of mistle toe. Plot center is on small rocky outcrop. Large field of small boulders all along and in Plots's Northern boundary. Santa Lucia firs, PIPO, and PICO, LIDE in surrounding areas. No disease anywhere, kind of out of it's range up here. Lots of mechanical damage on these trees, likely from all the falling rocks.",,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,BS426,BSLK,2006,2,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,1,1,3,"1985, 2008",1,1,,1,,,1,,1,,,,2,,1,2,2,2,1,yes,yes,no,North Limekiln,CA State Parks,2,"Limekiln State Park. North Limekiln. Up old road cut w/gate (Hwy 1 mile marker........), north of entrance to Limekiln and just north of ""Pikin's Corner"" or the big land slide area. walk up road cut and over ridge (~.75mi) into SESE forest w/creek running through. ~200m after entering contiguous SESE You'll come to down UMCA and about 20m farther a dead SESE lying across trail (in summer 2009, may be removed in future). Plot is ~60m upslope from the down UMCA at a bearing of 240degrees. You'll see large LIDE's, these are in plot. Steep going up, be cautious. Before you cross the creek head west up slope ~60m. Huge Bay tree @ East end of plot",UCD Trimble,10,632635.78,3987049.39,3.4,yes,226,6.196633339,34,53,53,1,2,mid-slope,"Driopterus has odd, light-green globules on it. Looks like disease is beginning to get established in here. Enormous bay in East end of plot not making it into the plot. Sampled from it. Steep, lots of downed woody debris. All samples resulted in P.nemorosa, but Pnem is really doing some serious damage in here. Probably the worst I have ever seen anywhere in Big Sur. We categorized both overstory w/ shurb layer LIDE= category 5, but bushes alone make up a 4.",obvious fire evidence high into SESE.,,2009PCR,,,-,1,1,1,1,,1,,0,,,1,"culture negative, pcr positive",0,0,,,1,,,0,,,,,,,,,,,1,?,,PCR,4,,,,,,1,Globisporangium,,,,,,,,
427,BS427,BSMPMC,2006,1,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,1,2,"1924, 2016",,,,,,,,1,,,1,,1,,,,0,1,2,,yes,no,Mill Creek Preserve,MPRPD,4,"MPRPD, Mill Creek Preserve; Palo Colorado Road, 1st Major bridge ~5+ miles out, After the Hoist is Turner Creek. Park ~200m toward Botchers gap on left/east side of road near large open draw. Upslope, follow draw up and find well defined logging road. Follow it around to draw, up a bit farther above Redwood area into ME habitat, ~100m above Redwoods",Bart,10,604545.00,4025844.00,9,,517,5.409627438,32,231,257,1,6,upper-slope,Looks newly infected in the plot. Plot was adjusted from SESE plot to a ME plot due to extensive loggging in the SESE area. We were still trying to figure out the protocol for shrubs so there is a lot of area measurements missing for understory shrubs. There are a lot of dbh's recorded but not entered for the shrubs. No area measurements for all the LOHI so the dbh of this was entered.,below is intensive and extensive SESE logging. The logging is in the past but more recent than in other areas surrounding this region. ,1,2006,,,11,,2,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,BS429,BSSLP,2007,2,,1,,1,,1,0,,1,1,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,1,1,,1,,1,1,,,1,,,,,,,,,2,yes,yes,yes,"Williams Canyon Road, to Mittledorf.",SLC,4,"Santa Lucia Conservancy. Out Carmel Valley Road to Rancho San Carlos road. At stop light go right. make prior arrangements to be in there. Once past main gate w/ attandents on main road head strait up into Santa Lucia preserve. Take main road to Williams Canyon Rd (the road that leads to Mittledorf). Continue on Road toward Mittledorf go 1.6mi to the BSLT gate and turn around, go an additional 0.3mi to a wide spot in the road and park. you'll have gone over 1 bridge back from the BSLT gate. Cross creek, plot is on the E. side of the creek. Make sure you park in an appropriate place. DO NOT park on the grass, they are VERY concerned about fire danger. Plot is across creek just above where large SESE give away to LIDE dominated forest.",UCD Trimble,10,602856.22,4036958.27,5,yes,351,5.797043324,35,270,270,1,4,lower-slope,Lovely plot. Very high mortality in area. Lots of downed trees. Careful! Surface is slippery with all the Lide leaves. Lattice of downed Lide in and below plot. Lots of cankers. Tagged trees out of plot. Hard packed soil. Large gap down slope from downed tree.,,1,2007,1,,11,2,2,2,2,1,,,0,1,,0,,0,0,,1,,,,0,,,,,,,,,,1,,,,0,3,,,,,,3,"P.ram, P.pseudo, P.cactorum, Elongisporangium, P.syringae",,,,,,,,
430,BS430,BSSLP,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,1,1,1913,,,,,,,,,,,,,,,,,,,2,,yes,no,Chamisal ,SLC,4,"Santa Lucia Conservancy. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Proceed to the gate and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Go to Chamisal Vista Point, #22 on big SLP map. Head down W,NW ~115m into beautiful old Qu forest, woodland.",UCD Trimble,10,606533.07,4036323.00,2.8,yes,512,10.70957565,36,338,265,1,5,mid-slope,"Lot of dead plants in here this time of y ear. Very loose soil. Lots of epicormic sprouting, open woodland. Woodrat activitiy in big tree in E edge of plot. Open understory litter/plant cover really hard to assess in here this time of year. Large dead down branch just downhill of center. Lots of spanish moss hanging in trees.",road is both above and below plot,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,BS431,BSMITT,2007,1,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,BSLT,,,,,,,2,,yes,yes,Mittledorf/ Headwaters Road,BSLT,4,"BSLT; Mittledorf. You need 4x4. Go in through Santa Lucia Preserve, must gain access each time you go in here. You'll need to talk to the guards at the gathouse. Drive out Williams Canyon Road, it will be a right off of the pavement. You will also have to contact the BSLT to get the combination for the Williams Canyon gate. Drive to the end of the road, you will see a sign pointing to the right to get to the Mittledorf Lodge. Go left up toward DZ's house, or the caretakers house. Continue past the Bunkhouse up the road all the way to the Picnic table on your left. Head out Headwaters road on your right, to 2nd major draw. Park in redwoods (1st draw past Williams Canyon Trail.) Hike up ME ridge. Open and beautiful area.",UCD Trimble,10,602068.17,4034487.92,2.5,yes,783,6.587924957,23,314,314,1,4,upper-slope,"Most trees have large amount of moss growing on them. Super open, NO herbaceous layer. Flagged out LIDE all over the place around here. High infection just not in immediate vacinity of plot. ", Fire Scars are on the uphill side of the trees. ,1,2007,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,BS433,BSBS,2007,2,,1,,1,1,1,0,,1,1,1,1,0,0,1,1.8,0.625,0.375,0,2,4,"1924,1939, 2008, 2016",1,1,,1,,1,1,,,1,,,0,,0,,0,0,2,no,no,yes,Boy Scout Road,Boy Scouts,3,"Boy Scouts of America. Walk down road from Botchers Gap toward Boy Scout Camp if you don’t have permission to drive. If you can drive it is 2 miles down the road from the gate, need 4x4. After 3rd major switch back, come down into SESE again and hear running water close by. Before the ""slow"" sign on the right side of road.Walk over Burm @ switch back and walk up left hand drainage. Walking upstream. The plot center is on the left side of the creek, up slope from creek. ~11m @ base of large LIDE tree.",UCD Trimble,10,607028.15,4023162.90,11.4,yes,350,5.777430534,34,85,159,1,5,riparian,"Large SESE, 11.6m  @ 185degrees to front of tree tagged #165 for relocation of center; Scaly aphids on some saplings. creek in E edge of plot. Dead LIDE classs ""A"" on other side of draw, 13m @ 89degrees; Good sized cliff on E side of creek; QUsp on E side of creek; All SESE cwd has been cut!! only counting gaps or sky in densiometer readings. Tag #166, 14.1m @122 degrees SESE; Tag #170, 13.9m @292 degrees SESE; both measured and tagged for relocation purposes. We had really poor gps reception in here the day we put in the plot, but a different day and we had no problems. Hard to tell ""observed infection, there were a few dead trees nearby but there were no symptomatic trees in the plot.","All SESE cwd has been cut!! Road is hardly used in the winter, but heavily used in the Summer months when the camp is really active.",1,2007,,,11,2,2,2,2,1,,,0,,,1,,none,1,1,,,,,1,,,,,,,,,,,,,,PCR,2,,,,,,2,P.cactorum,,,,,,,,
434,BS434,BSMITT,2007,1,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,BSLT,,,,,,,2,,yes,yes,Mittledorf/ Headwaters Road,BSLT,4,"BSLT; Mittledorf. accessed via Santa Lucia Preserve. 1st contact the BSLT to get the combination onto Williams Canyon Road. Any plot past the club house/Mittledorf will need 4x4. then contact Santa Lucia Preserve. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Go back out to main road and turn right. continue strait, past the golf course and past the tennis club both on your left. Proceed to the big gatehouse and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Take main road to Williams Canyon Rd, which will be on your right and a dirt road, to Mittledorf. Drive a couple of miles out this small dirt road until you get to a big parking area w/sign that shows the Mittledorf lodge to the right, and private residence to the left. Go slowly, up to the left past the caretakers house on your left up, up all the way to the top @ the picnic table on your left. you will be on top in the grasslands. It would be wise to inquire about the condition of this road since it is not very well maintained and there are typically slides and trees down across the road.  It is very steep. Once at the picnic table take Patriach Ridge Road to your right almost to the top of the ridge. Stop just short of the ridge top and go over the right hand side, as you face uphill, of road down to the plot. ",UCD Trimble,10,602958.86,4034581.60,4.5,yes,855,5.631921768,23,285,285,2,4,upper-slope,deep duff layer. Open understory. Lots of QUCH have branches that are dying back. Lots of ants in here. Big sea of manzanita to the south of the plot. The South densiometer reading has huge bowl of tree in it. Many Madrones had BD=Branch Dieback recorded; BD is usually for non-madrones so changed to D=dieback which is considered symptomatic.,,1,2007,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
